,plantid,genotype_name,cluster
27242,775,DH_KE0558,
27278,776,DH_KE0218,
27314,777,DH_KE0104,
27349,778,DH_PE0042,
27385,779,DH_KE0621,
27421,780,DH_KE0132,
27455,781,DH_PE0550,
27491,782,DH_KE0454,
27527,783,DH_KE0734,
27562,784,DH_PE0276,
27598,785,DH_PE0126,
27634,786,DH_PE0076,
27669,787,DH_PE0541,
27705,788,DH_KE0633,
27741,789,DH_PE0022,
27776,790,DH_KE0670,
27812,791,DH_KE0113,
27848,792,DH_PE0301,
27883,793,DH_KE0560,
27919,794,DH_KE0206,
27955,795,DK105,
27990,796,DH_KE0190,
28026,797,DH_KE0202,
28062,798,DH_PE0400,
28097,799,DH_KE0428,
28133,800,DH_KE0133,
28169,801,DH_KE0349,
28203,802,DH_KE0481,
28239,803,DH_KE0153,
28275,804,DH_PE0266,
28310,805,DH_PE0518,
28346,806,DH_KE0142,
28382,807,DH_PE0230,
28416,808,DH_KE0460,
28452,809,DH_KE0476,
28487,810,DH_KE0485,
28521,811,DH_KE0244,
28557,812,DH_KE0333,
28592,813,DH_PE0053,
28625,814,DH_KE0571,
28660,815,DH_PE0353,
28695,816,DH_PE0405,
28729,817,DH_PE0101,
28764,818,DH_KE0398,
28799,819,DH_PE0470,
28833,820,DH_KE0161,
28868,821,DH_KE0101,
28902,822,DH_PE0251,
28935,824,UH007,
28970,825,DH_KE0294,
29003,826,DH_KE0525,
29038,827,DH_PE0338,
29073,828,DH_KE0076,
29107,829,DH_PE0580,
29142,830,DH_PE0072,
29177,831,DH_KE0002,
29211,832,DH_KE0429,
29246,833,DH_KE0061,
29281,834,DH_KE0346,
29315,835,DH_KE0127,
29350,836,DH_KE0095,
29385,837,DH_PE0064,
29418,838,DH_PE0237,
29453,839,DH_PE0283,
29488,840,DH_KE0282,
29523,841,DH_KE0713,
29558,842,DH_KE0724,
29592,843,DH_PE0070,
29626,844,DH_KE0277,
29660,845,DH_PE0042,
29695,846,DH_PE0228,
29731,847,DH_KE0426,
29767,848,DH_KE0143,
29804,849,DH_PE0251,
29839,850,DH_KE0110,
29876,851,DH_KE0193,
29912,852,DH_KE0057,
29948,853,DH_PE0165,
29985,854,DH_PE0017,
30022,855,DH_PE0064,
30057,856,DH_PE0121,
30093,857,DH_PE0448,
30130,858,DH_PE0130,
30166,859,DH_KE0136,
30203,860,DH_KE0398,
30240,861,DH_PE0100,
30275,862,DH_KE0425,
30312,863,DH_KE0073,
30349,864,DH_PE0356,
30384,865,DH_KE0289,
30421,866,DH_PE0447,
30458,867,DH_PE0114,
30494,868,DH_PE0494,
30531,869,DH_KE0525,
30568,870,DH_KE0085,
30604,871,DH_PE0511,
30641,872,DH_KE0061,
30678,874,DK105,
30714,875,DH_PE0018,
30750,876,DH_PE0286,
30785,877,DH_KE0067,
30821,878,DH_PE0520,
30857,879,DH_PE0426,
30892,880,DH_PE0136,
30928,881,DH_PE0349,
30964,882,DH_PE0348,
30999,883,DH_PE0346,
31034,884,DH_PE0024,
31069,885,DH_PE0087,
31104,886,DH_PE0063,
31140,888,DH_KE0654,
31175,889,DH_KE0210,
31211,890,DH_PE0413,
31247,891,DH_KE0569,
31282,892,DH_PE0292,
31318,893,DH_PE0400,
31354,894,DH_KE0129,
31389,895,DH_KE0587,
31425,896,DH_KE0247,
31461,897,DH_KE0206,
31496,898,DH_PE0199,
31532,899,DH_PE0473,
31568,900,DH_KE0191,
31603,901,DH_PE0277,
31639,902,DH_PE0266,
31675,904,DH_KE0132,
31711,905,DH_PE0357,
31747,906,DH_PE0374,
31782,907,DH_KE0253,
31818,908,DH_KE0002,
31854,909,DH_PE0518,
31889,910,DH_KE0628,
31925,911,DH_KE0031,
31960,912,DH_PE0131,
31995,913,DH_KE0032,
32031,914,DH_PE0402,
32067,915,DH_KE0480,
32102,916,UH007,
32138,917,DH_KE0083,
32174,918,DH_KE0346,
32209,919,DH_KE0114,
32245,920,DH_PE0269,
32281,921,DH_KE0126,
32316,922,DH_PE0392,
32352,923,DH_KE0670,
32388,924,DH_KE0242,
32423,925,DH_KE0678,
32459,926,DH_PE0564,
32495,927,DH_KE0462,
32529,928,F353,
32565,929,DH_PE0416,
32601,930,DH_KE0024,
32635,931,DH_KE0538,
32671,932,DH_PE0075,
32707,933,DH_PE0386,
32742,934,DH_KE0486,
32778,935,DH_KE0171,
32814,936,F7,
32848,937,DH_PE0538,
32884,938,DH_PE0132,
32920,939,DH_KE0034,
32954,940,DH_KE0006,
32990,941,DH_KE0490,
33025,942,DH_PE0376,
